;Preco;Marca;Nome;Modelo;Km;Ano;Estado;Regiao;Loja
982;66.700;Chevrolet;Onix;Onix Hatch Effect 1.4 8v F.power 5p Mec.;49.222;2019;SP;Freguesia do Ó - São Paulo Zona Norte;Vazio
983;79.890;Volkswagen;Jetta;1.4 Tsi Comfortline 4p;72.500;2016;SP;Guarulhos;Vazio
984;84.990;Nissan;Kicks;S Mt;63.072;2019;SP;Parque Maria Luiza - São Paulo Zona Leste;Vazio
985;62.899;Honda;Fit;1.5 Lx Flex Aut. 5p;74.455;2015;SP;Aricanduva - São Paulo Zona Leste;Vazio
986;76.900;Renault;Duster;2.0 16v Dynamique;69.182;2019;SP;Pirituba - São Paulo Zona Oeste;Vazio
987;88.990;Peugeot;2008;1.6 Griffe At;25.626;2020;SP;Pirituba - São Paulo Zona Oeste;Vazio
988;59.900;Hyundai;Hb20s;1.6 Comfort Plus 16v Flex 4p Automático;99.000;2016;SP;Sorocaba;Vazio
989;71.770;Toyota;Etios;Etios Sedán 1.5 X Plus Sedan 16v Flex 4p Automático;41.559;2020;SP;Carapicuíba;Vazio
990;69.990;Honda;Fit;Fit 1.5 Lx 16v Flex 4p Automático;74.800;2016;SP;Jundiaí;Vazio
991;73.790;Chery;Tiggo;2 Tiggo 2 1.5 Mpfi 16v Flex Act 4p Automático 2019;110.500;2019;SP;Campinas;Vazio
992;89.900;Honda;Hr-v;Hr-v Lx 1.8 Flexone 16v 5p Aut.;70.000;2017;SP;São Lucas - São Paulo Zona Leste;Vazio
993;67.900;Hyundai;Hb20s;1.6 Comfort Style 16v;41.420;2019;SP;Vila Monumento - São Paulo Zona Sul;Vazio
994;65.990;Chevrolet;Cobalt;Chevrolet Cobalt 1.8 Ltz At;44.824;2018;SP;Jardim Macedo - Ribeirão Preto;Vazio
995;87.990;Toyota;Corolla;2.0 Xei;87.791;2016;SP;Jardim Palma Travassos - Ribeirão Preto;Vazio
996;55.990;Volkswagen;Fox;Fox 1.6 Msi Comfortline 8v Flex 4p Manual 2018;26.349;2018;SP;Campinas;Vazio
997;62.900;Chevrolet;Prisma;Prisma Sed. Lt 1.4 8v Flexpower 4p;63.000;2019;SP;Freguesia do Ó - São Paulo Zona Norte;Vazio
998;58.990;Chevrolet;Montana;Montana Ls 1.4 (flex);111.384;2019;SP;Parque São Lucas - São Paulo Zona Leste;Vazio
999;58.900;Fiat;Strada;1.4 Hard Working Flex 2p;57.000;2018;SP;Vila Califórnia - São Paulo Zona Leste;Vazio
1000;58.900;Fiat;Strada;1.4 Working Flex 2p;57.000;2018;SP;Vila Califórnia - São Paulo Zona Leste;Vazio
1001;65.990;Chevrolet;Cobalt;1.8 Ltz At;44.824;2018;SP;São José - Franca;Vazio
1002;84.900;Toyota;Yaris;1.3 16v Xl Multidrive;29.361;2019;SP;Mauá;Vazio
1003;85.900;Volkswagen;Polo;Polo 1.0 Tsi Highlinr 4p Turbo Flex Automatico;35.881;2018;SP;Campestre - Santo André;Vazio
1004;56.900;Chevrolet;Montana;1.4 Ls 8v Flex 2p Manual;60.320;2019;SP;Campinas;Vazio
1005;68.890;Chevrolet;Cruze;1.8 Lt 16v Flex 4p Automático;107.000;2015;SP;Americana;Vazio
1006;66.904;Hyundai;Tucson;2.0 Gls Flex 4p Aut;117.237;2016;SP;Jardim Satélite - São José dos Campos;Vazio
1007;62.899;Fiat;Strada;1.4 Hard Working Flex 2p;78.988;2019;SP;Aricanduva - São Paulo Zona Leste;Vazio
1008;67.999;Nissan;Versa;1.6 Sv Flexstart Automático / Cvt - 40.000km;39.900;2019;SP;Butantã - São Paulo Zona Oeste;Vazio
1009;56.900;Chevrolet;Onix;Onix 1.0 Mpi Joy 8v Flex 4p Manual;35.000;2019;SP;Osasco;Vazio
