;Preco;Marca;Nome;Modelo;Km;Ano;Estado;Regiao;Loja
705;58.450;Volkswagen;Gol;1.6 Msi Totalflex 4p Manual;54.638;2021;MG;Santa Mônica - Uberlândia;Localiza Seminovos
706;55.180;Volkswagen;Gol;1.0 12v Mpi Totalflex 4p Manual;51.295;2021;MG;Santa Mônica - Uberlândia;Localiza Seminovos
707;58.390;Volkswagen;Voyage;1.6 Msi Totalflex 4p Manual;50.316;2020;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
708;78.500;Fiat;Fiorino;1.4 Mpi Furgão Hard Working 8v Flex 2p Manual;50.827;2020;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
709;59.360;Ford;Ka;1.0 Ti-vct Flex Se Sedan Manual;69.140;2020;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
710;63.990;Renault;Sandero;1.6 16v Sce Flex Stepway Zen Manual;50.324;2020;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
711;89.990;Chevrolet;Spin;1.8 Activ7 8v Flex 4p Automático;51.588;2020;MG;Santa Mônica - Uberlândia;Localiza Seminovos
712;56.080;Renault;Logan;1.0 12v Sce Flex Life Manual;52.584;2021;MG;Santa Mônica - Uberlândia;Localiza Seminovos
713;58.390;Volkswagen;Voyage;1.6 Msi Totalflex 4p Manual;60.954;2020;MG;Santa Mônica - Uberlândia;Localiza Seminovos
714;68.990;Chevrolet;Onix;1.0 Flex Lt Manual;50.247;2020;MG;Santa Mônica - Uberlândia;Localiza Seminovos
715;70.800;Fiat;Cronos;1.3 Firefly Flex Drive Manual;53.116;2020;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
716;57.150;Renault;Logan;1.0 12v Sce Flex Zen Manual;51.756;2021;MG;Santa Mônica - Uberlândia;Localiza Seminovos
717;67.690;Chevrolet;Prisma;1.4 Mpfi Lt 8v Flex 4p Manual;50.544;2019;MG;Santa Mônica - Uberlândia;Localiza Seminovos
718;60.290;Fiat;Argo;1.0 Firefly Flex Drive Manual;51.680;2020;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
719;62.470;Volkswagen;Voyage;1.6 Msi Totalflex 4p Manual;52.139;2021;MG;Santa Mônica - Uberlândia;Localiza Seminovos
720;88.690;Renault;Captur;2.0 16v Hi-flex Intense Automático;51.526;2020;MG;Santa Mônica - Uberlândia;Localiza Seminovos
721;69.990;Toyota;Etios;1.5 X Plus Sedan 16v Flex 4p Automático;50.344;2020;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
722;55.590;Hyundai;Hb20;1.0 Unique 12v Flex 4p Manual;50.865;2019;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
723;74.620;Chevrolet;Onix;1.0 Turbo Flex Plus Lt Manual;52.590;2020;MG;Santa Mônica - Uberlândia;Localiza Seminovos
724;70.980;Toyota;Etios;1.5 X Plus Sedan 16v Flex 4p Automático;50.600;2020;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
725;58.990;Volkswagen;Voyage;1.6 Msi Totalflex 4p Manual;50.713;2020;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
726;57.500;Volkswagen;Gol;1.6 Msi Totalflex 4p Manual;43.318;2021;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
727;55.590;Renault;Sandero;1.0 12v Sce Flex Zen Manual;51.247;2021;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
728;66.590;Renault;Sandero;1.6 16v Sce Flex Stepway Zen Manual;53.142;2020;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
729;89.990;Chevrolet;Spin;1.8 Activ7 8v Flex 4p Automático;50.598;2020;MG;Santa Mônica - Uberlândia;Localiza Seminovos
730;68.990;Chevrolet;Onix;1.0 Flex Lt Manual;62.120;2020;MG;Santa Mônica - Uberlândia;Localiza Seminovos
731;78.790;Fiat;Doblo;1.8 Mpi Essence 7l 16v Flex 4p Manual;51.005;2020;MG;Santa Mônica - Uberlândia;Localiza Seminovos
